City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Georgetown,MY,80.89,thunderstorm,5.4112,100.3354,Cititel Penang
5,Norman Wells,CA,73.44,few clouds,65.282,-126.8329,Heritage Hotel
6,Tomatlan,MX,81.66,overcast clouds,19.9333,-105.25,El Salvial
14,Sao Filipe,CV,75.49,few clouds,14.8961,-24.4956,Hotel Xaguate
20,Atuona,PF,77.05,few clouds,-9.8,-139.0333,Villa Enata
22,Sadri,IN,77.13,broken clouds,25.1833,73.4333,Chandra Hill Resort
30,Mirwah,YE,72.52,clear sky,13.9228,43.9176,عاصم المليكي
35,Wilmington,US,84.11,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
36,Peniche,PT,70.09,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
42,Lagoa,PT,72.41,clear sky,39.05,-27.9833,Casa Das Faias
45,Ribeira Grande,PT,73.76,few clouds,38.5167,-28.7,Quinta da Meia Eira
46,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
47,Westport,US,79.09,clear sky,41.1415,-73.3579,The Westport Inn
55,Bubaque,GW,79.21,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
56,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
57,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
58,Erenhot,CN,82.69,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
59,Smithers,CA,82.72,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
63,Bengkulu,ID,77.85,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
65,Ledyard,US,77.23,clear sky,41.4398,-72.0142,Stonecroft Country Inn
68,Bethel,US,79.03,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
71,Axim,GH,74.39,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
72,Ribeira Brava,PT,72.01,clear sky,32.65,-17.0667,Hotel do Campo
74,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
77,Nouakchott,MR,82.33,few clouds,18.0858,-15.9785,HOTEL IMAN
79,Nago,JP,77.45,moderate rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
81,Hambantota,LK,75.54,moderate rain,6.1241,81.1185,Bungalow 63
82,Neyshabur,IR,73.15,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
84,Kalawit,PH,83.44,overcast clouds,8.0667,122.5167,Ompoy Pension House
89,Rikitea,PF,72.46,light rain,-23.1203,-134.9692,People ThankYou
93,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
95,Tecoanapa,MX,83.17,overcast clouds,16.5167,-98.75,Hotel Manglares
96,Nyurba,RU,73.99,overcast clouds,63.2842,118.3319,"Гостиница ""Comfort"""
100,Benghazi,LY,79.77,clear sky,32.1167,20.0667,Tibesti Hotel
102,Carauari,BR,79.63,overcast clouds,-4.8828,-66.8958,Hotel Fellip
106,Freeport,US,79.5,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
108,Omboue,GA,71.87,scattered clouds,-1.5746,9.2618,Hotel Olako
111,Bronte,IT,72.7,clear sky,37.7895,14.8342,Alle Cordate dell'Etna
112,Atkinson,US,80.51,clear sky,42.8384,-71.147,Atkinson Resort & Country Club
114,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
117,Dori,BF,79.81,overcast clouds,14.0354,-0.0345,Hôtel Liptako
120,Kamen-Rybolov,RU,73.17,light rain,44.7481,132.0403,"The recreation center ""Olimp"""
122,Makakilo City,US,84.56,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
124,Jamestown,US,74.84,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
125,Narbonne,FR,82.63,clear sky,43.0833,2.8333,Domaine du Soleil Couchant - Bed & Breakfast in
128,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
133,Zhigansk,RU,70.47,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
134,Veraval,IN,81.32,overcast clouds,20.9,70.3667,Lords Inn Somnath
137,Hithadhoo,MV,80.73,overcast clouds,-0.6,73.0833,Scoop Guest House
139,Mayo,US,75.96,moderate rain,38.8876,-76.5119,Resorts Resource Group International
141,Nishihara,JP,78.08,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
148,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
151,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
153,Karratha,AU,74.61,broken clouds,-20.7377,116.8463,ibis Styles Karratha
154,Goderich,CA,79.12,scattered clouds,43.7501,-81.7165,Harmony Inn
155,Surt,LY,80.53,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
158,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
161,Clinton,US,81.86,few clouds,42.587,-82.9199,River's Edge
162,Ferkessedougou,CI,72.64,light rain,9.6,-5.2,Hotel Chateau
165,Shahr-E Babak,IR,71.87,overcast clouds,30.1165,55.1186,سلاطین مس و نقره
169,La Ronge,CA,71.82,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
171,Hobyo,SO,75.13,clear sky,5.3505,48.5268,Iftin hotel hobyo
172,Faanui,PF,78.64,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
175,Vila Franca Do Campo,PT,70.21,clear sky,37.7167,-25.4333,Pestana Bahia Praia
176,Kanigiri,IN,84.0,overcast clouds,15.4,79.5167,COMFORT INN
182,Mackay,AU,74.68,clear sky,-21.15,149.2,International Lodge Motel
185,Calabozo,VE,75.18,overcast clouds,8.9242,-67.4293,Hotel Giardini
186,Dharchula,IN,72.54,overcast clouds,29.85,80.5333,Mahara Hotel
187,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
188,Isangel,VU,80.71,scattered clouds,-19.55,169.2667,Tanna Lodge
189,Butaritari,KI,81.48,broken clouds,3.0707,172.7902,Isles Sunset Lodge
190,Am Timan,TD,71.2,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
191,Beaufort,MY,75.83,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
193,Karaton,ID,77.95,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
194,Tarogong,ID,75.74,overcast clouds,-7.1902,107.8874,favehotel
196,Harper,LR,75.04,overcast clouds,4.375,-7.7169,Screensaver
199,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
201,Payo,ID,78.33,scattered clouds,-3.7508,103.6372,Mess keban agung
207,Turayf,SA,79.05,clear sky,31.6725,38.6637,Turaif
208,Carutapera,BR,75.85,overcast clouds,-1.195,-46.02,Lidera
210,Ponta Do Sol,PT,72.01,clear sky,32.6667,-17.1,Hotel do Campo
212,Nahariyya,IL,70.99,clear sky,33.0059,35.0941,Shtarkman Erna Hotel
214,Cumbum,IN,74.8,overcast clouds,9.7333,77.3,Hotel Sagar Rooms
217,Kinablangan,PH,81.72,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
218,Kentau,KZ,73.35,clear sky,43.5206,68.5094,Safary
219,Odienne,CI,70.88,light rain,9.51,-7.5692,Oustaz Vame DIAKITE
220,Fukue,JP,82.76,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
222,Koutiala,ML,80.11,overcast clouds,12.3917,-5.4642,Hotel La Chaumiere
224,Soe,ID,72.64,overcast clouds,-9.8607,124.284,Dena Hotel
227,Takoradi,GH,73.53,overcast clouds,4.8845,-1.7554,Raybow International Hotel
230,Banikoara,BJ,70.81,broken clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
231,Bahia Honda,CU,80.55,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
241,Primorsk,UA,72.91,moderate rain,46.7348,36.3443,Relax
245,Hopelchen,MX,82.33,few clouds,19.7667,-89.85,Hotel Jaguar
246,Siocon,PH,83.3,overcast clouds,7.7061,122.1353,ABS Hotel
253,Muros,ES,70.09,clear sky,42.7762,-9.0603,Apartment Av. Castelao
254,Ouesso,CG,70.7,overcast clouds,1.6136,16.0517,ABENIE Hotel
255,Tomohon,ID,77.94,overcast clouds,1.3346,124.8392,Gardenia Country Inn
257,Dwarka,IN,80.55,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
258,Hernani,ES,70.21,few clouds,43.2662,-1.9762,Ibiltze
261,Gazli,UZ,79.7,few clouds,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
262,Ishinomaki,JP,84.2,overcast clouds,38.4167,141.3,Ishinomaki Grand Hotel
264,Port Blair,IN,78.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
266,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
268,Urumqi,CN,72.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
270,Codigoro,IT,75.09,clear sky,44.8311,12.1142,casa maria
272,Araxa,BR,71.56,clear sky,-19.5933,-46.9406,Plaza Inn Flat Araxá
274,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
276,Kapuskasing,CA,75.2,thunderstorm with light rain,49.4169,-82.4331,Park Inn Motel
279,Ushtobe,KZ,73.18,broken clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
281,Ponta Delgada,PT,70.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
284,Kulhudhuffushi,MV,77.47,moderate rain,6.6221,73.07,Haajy Guest House 1
289,Fontaine,FR,75.47,clear sky,45.1984,5.6827,Hôtel Institut
292,Mitsamiouli,KM,75.18,clear sky,-11.3847,43.2844,Foyer ADM
294,Toro,CO,78.08,overcast clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
299,Darhan,MN,70.0,few clouds,49.4867,105.9228,Buudai Hotel
300,Eureka,US,79.66,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
301,Makat,KZ,81.16,overcast clouds,47.6469,53.3463,Umit
303,Jitra,MY,75.09,scattered clouds,6.2681,100.4217,Hotel Darulaman
305,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
313,Dingle,PH,82.58,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
314,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
316,Krasnyy Chikoy,RU,72.07,clear sky,50.3643,108.7512,Persona
319,Pacific Grove,US,77.54,clear sky,36.6177,-121.9166,Lovers Point Inn
322,Biabou,VC,81.91,overcast clouds,13.2,-61.1333,Spring Garden Resort
325,Komsomolskiy,UZ,75.92,scattered clouds,40.4272,71.7189,Ikathouse
326,Shache,CN,75.36,overcast clouds,38.4167,77.2406,Delong Hotel
338,Katobu,ID,79.57,overcast clouds,-4.9408,122.5276,La Ode Husein
341,Cockburn Town,TC,82.02,clear sky,21.4612,-71.1419,Osprey Beach Hotel
343,Dong Xoai,VN,77.23,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
345,Tahoua,NE,77.43,broken clouds,14.8888,5.2692,Bungalows Guesthouse
347,Boffa,GN,77.5,light rain,10.1667,-14.0333,Hôtel Niara Belly
350,Bartica,GY,80.92,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
353,Ugoofaaru,MV,76.84,moderate rain,5.6667,73.0,Ungoofaaru Inn
356,Touros,BR,76.51,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
360,Srandakan,ID,77.43,scattered clouds,-7.9386,110.2506,Puri Brata
361,Cherskiy,RU,71.22,overcast clouds,68.75,161.3,Gostinitsa
363,Salalah,OM,75.67,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
366,Saint Anthony,US,84.09,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
367,Buritis,BR,72.27,clear sky,-15.6178,-46.4233,Hotel Rainha do Vale
370,Coahuayana,MX,83.73,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
372,Khandyga,RU,80.89,overcast clouds,62.6667,135.6,Apel'sin
374,Dakar,SN,80.73,scattered clouds,14.6937,-17.4441,Novotel Dakar
380,Kalagarh,IN,78.26,few clouds,29.5,78.75,Rakesh Lainthola
382,La Crosse,US,79.77,clear sky,43.8014,-91.2396,Holiday Inn & Suites La Crosse - Downtown
383,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
386,Vaitape,PF,78.62,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
387,Labrea,BR,80.94,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
389,Panama City,PA,82.35,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
390,Chau Doc,VN,82.99,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
391,Lompoc,US,77.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
394,Eyl,SO,76.1,clear sky,7.9803,49.8164,Amiin Hotel
395,Bambanglipuro,ID,77.32,broken clouds,-7.95,110.2833,Puri Brata
396,Sibolga,ID,78.58,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
400,Atambua,ID,79.7,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
401,Kiunga,PG,75.65,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
402,Chumphon,TH,77.41,very heavy rain,10.3333,98.8333,สกาน จ๋า.
404,Kanker,IN,77.65,overcast clouds,20.2719,81.4931,STARiHOTEL Kanker
405,Praia Da Vitoria,PT,71.85,few clouds,38.7333,-27.0667,Hotel Branco I
406,Virginia Beach,US,77.05,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
409,San Pedro,PH,84.34,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
416,Kaduqli,SD,70.86,moderate rain,11.0167,29.7167,Nussyba
421,Aguimes,ES,70.43,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
423,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
425,Prado,BR,70.61,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
428,Sao Jose Da Coroa Grande,BR,74.98,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
429,Broome,US,72.36,overcast clouds,42.2506,-75.833,Chenango Valley State Park
430,Moussoro,TD,78.69,moderate rain,13.6408,16.4901,Hôtel Salama
437,Tabou,CI,75.15,overcast clouds,4.423,-7.3528,hotêl doufoulougou
438,Guerrero Negro,MX,79.03,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
439,Ipixuna,BR,72.77,heavy intensity rain,-1.7625,-48.8043,Chalé do Mato
443,Charters Towers,AU,72.61,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
444,Langsa,ID,77.5,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
447,Waddan,LY,79.38,clear sky,29.1614,16.139,محل الشريف محمد العايب
