City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrition
0,Sehithwa,BW,-20.4667,22.7167,56.64,28,0,7.0,clear sky
1,Greensburg,US,40.3015,-79.5389,69.91,93,75,0.0,broken clouds
2,Hermanus,ZA,-34.4187,19.2345,38.8,73,0,6.58,clear sky
3,Kedrovyy,RU,56.1667,91.8167,67.87,88,51,6.93,broken clouds
4,Georgetown,MY,5.4112,100.3354,80.89,87,40,4.61,thunderstorm
5,Norman Wells,CA,65.282,-126.8329,73.44,46,20,10.36,few clouds
6,Tomatlan,MX,19.9333,-105.25,81.66,75,98,4.7,overcast clouds
7,Richards Bay,ZA,-28.783,32.0377,60.35,75,100,9.55,overcast clouds
8,Pevek,RU,69.7008,170.3133,50.77,59,0,11.43,clear sky
9,Ilulissat,GL,69.2167,-51.1,59.02,38,59,16.11,broken clouds
10,Bluff,NZ,-46.6,168.3333,50.81,76,100,17.27,overcast clouds
11,Tasiilaq,GL,65.6145,-37.6368,42.96,50,23,4.99,few clouds
12,Port Elizabeth,ZA,-33.918,25.5701,47.32,86,0,5.75,clear sky
13,Sitka,US,57.0531,-135.33,57.09,94,100,5.75,mist
14,Sao Filipe,CV,14.8961,-24.4956,75.49,75,11,6.29,few clouds
15,Aklavik,CA,68.2191,-135.0107,67.21,44,68,4.0,broken clouds
16,Ostrovnoy,RU,68.0531,39.5131,54.28,83,88,4.99,overcast clouds
17,Yellowknife,CA,62.456,-114.3525,68.52,40,40,9.22,scattered clouds
18,Barrow,US,71.2906,-156.7887,35.62,87,75,9.22,broken clouds
19,Souillac,MU,-20.5167,57.5167,68.38,83,40,9.22,scattered clouds
20,Atuona,PF,-9.8,-139.0333,77.05,73,14,12.68,few clouds
21,Luderitz,NA,-26.6481,15.1594,57.42,52,0,7.0,clear sky
22,Sadri,IN,25.1833,73.4333,77.13,89,55,11.05,broken clouds
23,Tuatapere,NZ,-46.1333,167.6833,48.76,81,100,8.59,light rain
24,Anchorage,US,61.2181,-149.9003,67.08,72,100,6.91,overcast clouds
25,Hasaki,JP,35.7333,140.8333,93.29,69,100,4.63,overcast clouds
26,Mananara,MG,-16.1667,49.7667,66.72,94,84,3.18,light rain
27,Port Alfred,ZA,-33.5906,26.891,52.2,73,0,9.66,clear sky
28,Ushuaia,AR,-54.8,-68.3,35.26,93,40,3.44,scattered clouds
